web-scraper-order,web-scraper-start-url,product_name,price,product_discount
"1705465253-100","https://www.klikindomaret.com/category/Makanan-Instan","La Fonte Spaghetti 225G","Rp 10.000",""
"1705465253-101","https://www.klikindomaret.com/category/Makanan-Instan","Ladang Lima Korean Noodle Kuah Beef Mushroom 94G","Rp 10.900",""
"1705465253-102","https://www.klikindomaret.com/category/Makanan-Instan","Lemonilo Mie Instant Alami Goreng 65G","Rp 5.900",""
"1705465253-103","https://www.klikindomaret.com/category/Makanan-Instan","Lemonilo Mie Instant Kuah Alami Ayam Bawang 60G","Rp 5.900",""
"1705465253-104","https://www.klikindomaret.com/category/Makanan-Instan","Mama Mie Instant Noodle Shrimp Creamy Tom Yum 90g","Rp 11.900",""
"1705465253-105","https://www.klikindomaret.com/category/Makanan-Instan","Mama Mie Instant Noodle Shrimp Tom Yum 90g","Rp 11.900",""
"1705465253-106","https://www.klikindomaret.com/category/Makanan-Instan","Mama Mie Instant Noodles Kimchi 90g","Rp 17.900",""
"1705465253-107","https://www.klikindomaret.com/category/Makanan-Instan","Mama Mie Mi Goreng 80g","Rp 17.900",""
"1705465253-108","https://www.klikindomaret.com/category/Makanan-Instan","Mamasuka Delisaos Saus Pasta Bolognese 315G","Rp 17.000",""
"1705465253-109","https://www.klikindomaret.com/category/Makanan-Instan","Mamasuka Sup Krim Ayam 55G","Rp 9.600",""
"1705465253-110","https://www.klikindomaret.com/category/Makanan-Instan","Meeju Instant Cheese Noodle Classic 95G","Rp 20.200",""
"1705465253-111","https://www.klikindomaret.com/category/Makanan-Instan","Mie Oven Mie Goreng Bawang Putih 71G","Rp 2.800",""
"1705465253-112","https://www.klikindomaret.com/category/Makanan-Instan","Mie Oven Mie Goreng Gulai Sultan 70G","Rp 2.800",""
"1705465253-113","https://www.klikindomaret.com/category/Makanan-Instan","Mie Oven Mie Instant Iga Sapi 78G","Rp 2.800",""
"1705465253-114","https://www.klikindomaret.com/category/Makanan-Instan","Migelas Mie Instant Paket Keluarga Ayam Bawang 6X28G","Rp 9.500",""
"1705465253-115","https://www.klikindomaret.com/category/Makanan-Instan","Migelas Mie Instant Paket Keluarga Baso Sapi 6X28G","Rp 9.000",""
"1705465253-116","https://www.klikindomaret.com/category/Makanan-Instan","Migelas Mie Instant Paket Keluarga Kari Ayam 6X28G","Rp 9.000",""
"1705465253-117","https://www.klikindomaret.com/category/Makanan-Instan","Migelas Mie Instant Paket Keluarga Sop Buntut 6X28G","Rp 9.000",""
"1705465253-118","https://www.klikindomaret.com/category/Makanan-Instan","Migelas Mie Instant Paket Keluarga Sosis Barbeque 6X28G","Rp 9.000",""
"1705465253-119","https://www.klikindomaret.com/category/Makanan-Instan","Migelas Mie Instant Paket Keluarga Soto Ayam 6X28G","Rp 9.500",""
"1705465253-120","https://www.klikindomaret.com/category/Makanan-Instan","Nabati Richeese Mi Goreng Keju Fire Level 5 75G","Rp 3.500",""
"1705465253-121","https://www.klikindomaret.com/category/Makanan-Instan","Nabati Richeese Mi Goreng Keju Pedas Fire Level 3 75G","Rp 3.300",""
"1705465253-122","https://www.klikindomaret.com/category/Makanan-Instan","Nabati Richeese Mi Goreng Pedas Richicken 77G","Rp 3.300",""
"1705465253-123","https://www.klikindomaret.com/category/Makanan-Instan","Nabati Richeese Mi Instant Ramen Keju Pedas Fire Level 3 67G","Rp 3.100",""
"1705465253-124","https://www.klikindomaret.com/category/Makanan-Instan","Nabati Richeese Mi Instant Ramen Keju Pedas Fire Level 5 67G","Rp 3.300",""
"1705465253-125","https://www.klikindomaret.com/category/Makanan-Instan","Nabati Richeese Mi Instant Soto Mi 75G","Rp 3.200",""
"1705465253-126","https://www.klikindomaret.com/category/Makanan-Instan","Nissin Instant Cup Noodles Kaldu Ayam 67g","Rp 7.700",""
"1705465253-127","https://www.klikindomaret.com/category/Makanan-Instan","Nissin Instant Cup Noodles Kaldu Sapi 66g","Rp 7.700",""
"1705465253-128","https://www.klikindomaret.com/category/Makanan-Instan","Nissin Ramen Kaldu Ayam Ala Jepang 100G","Rp 7.600",""
"1705465253-129","https://www.klikindomaret.com/category/Makanan-Instan","Nissin Ramen Takoyaki Jepang 104G","Rp 7.600",""
